9000006, "0000099"
9000006, "61"
9000031, "0000099"
9000031, "61"
9000038, "0000099"
9000038, "21"
9000040, "0106000"
9000040, "12"
9000043, "0204000"
9000043, "43"
9000045, "0000099"
9000045, "31"
9000046, "0204000"
9000046, "49"
9000048, "0204000"
9000048, "49"
9000049, "0204000"
9000049, "49"
9000050, "0204000"
9000050, "44"
9000052, "0205000"
9000052, "41"
9000053, "0000099"
9000053, "21"
9000054, "0000099"
9000054, "21"
9000057, "0000099"
9000057, "12"
9000058, "0106000"
9000058, "13"
9000060, "0204000"
9000060, "0319000"
9000060, "44"
9000063, "0312000"
9000063, "45"
9000075, "0000099"
9000075, "61"
9000089, "0201000"
9000089, "0313000"
9000089, "45"
9000091, "0312000"
9000091, "45"
9000094, "0000099"
9000094, "61"
9000099, "0000099"
9000099, "81"
9000100, "0312000"
9000100, "61"
9000102, "0302000"
9000102, "45"
9000110, "0000099"
9000110, "21"
9000111, "0205000"
9000111, "41"
9000112, "0204000"
9000112, "49"
9000112, "59"
9000117, "0308000"
9000117, "53"
9000121, "0106000"
9000121, "13"
9000127, "0204000"
9000127, "0319000"
9000127, "41"
9000127, "44"
9000129, "0000099"
9000129, "21"
9000130, "0204000"
9000130, "49"
9000132, "0000099"
9000132, "21"
9000133, "0000099"
9000133, "21"
9000134, "0204000"
9000134, "42"
9000135, "0204000"
9000135, "43"
9000137, "0000099"
9000137, "21"
9000138, "0000099"
9000138, "21"
9000139, "0000099"
9000139, "21"
9000143, "0204000"
9000143, "44"
9000144, "0204000"
9000144, "43"
9000146, "0204000"
9000146, "44"
9000151, "0204000"
9000151, "44"
9000152, "0106000"
9000152, "0522100"
9000152, "12"
9000152, "53"
9000153, "0204000"
9000153, "43"
9000154, "0204000"
9000154, "44"
9000157, "0204000"
9000157, "44"
9000158, "0204000"
9000158, "49"
9000162, "0204000"
9000162, "43"
9000166, "0204000"
9000166, "44"
9000171, "0205000"
9000171, "41"
9000175, "0000099"
9000175, "12"
9000177, "0204000"
9000177, "42"
9000182, "0204000"
9000182, "42"
9000186, "0313000"
9000186, "88"
9000187, "0000099"
9000187, "12"
9000193, "0204000"
9000193, "42"
9000194, "0106000"
9000194, "13"
9000195, "0205000"
9000195, "41"
9000197, "0000099"
9000197, "42"
9000200, "0000099"
9000200, "82"
9000201, "0204000"
9000201, "43"
9000203, "0000912"
9000203, "0106000"
9000203, "30"
9000203, "99"
9000206, "0204000"
9000206, "43"
9000214, "0311000"
9000214, "42"
9000216, "0205000"
9000216, "41"
9000217, "0204000"
9000217, "44"
9000221, "0313000"
9000221, "0319000"
9000221, "0510102"
9000221, "0521800"
9000221, "41"
9000221, "42"
9000221, "45"
9000221, "89"
9000222, "0000099"
9000222, "99"
9000223, "0111000"
9000223, "92"
9000238, "0203000"
9000238, "61"
9000246, "0204000"
9000246, "49"
9000249, "0000099"
9000249, "61"
9000251, "0204000"
9000251, "49"
9000254, "0205000"
9000254, "41"
9000255, "0206000"
9000255, "31"
9000256, "0000099"
9000256, "21"
9000257, "0203000"
9000257, "59"
9000263, "0204000"
9000263, "43"
9000264, "0204000"
9000264, "43"
9000271, "0000099"
9000271, "21"
9000272, "0203000"
9000272, "59"
9000273, "0205000"
9000273, "41"
9000280, "0000099"
9000280, "21"
9000282, "0308000"
9000282, "53"
9000283, "0204000"
9000283, "42"
9000285, "0204000"
9000285, "42"
9000287, "0204000"
9000287, "42"
9000288, "0106000"
9000288, "12"
9000288, "13"
9000292, "0000099"
9000292, "12"
9000295, "0000099"
9000295, "13"
9000305, "0204000"
9000305, "44"
9000306, "0000099"
9000306, "61"
9000309, "0306000"
9000309, "53"
9000312, "0204000"
9000312, "49"
9000323, "0204000"
9000323, "44"
9000325, "0000099"
9000325, "41"
9000326, "0204000"
9000326, "42"
9000327, "0204000"
9000327, "42"
9000329, "0000099"
9000329, "12"
9000333, "0204000"
9000333, "42"
9000339, "0000099"
9000339, "21"
9000343, "0204000"
9000343, "49"
9000344, "0000099"
9000344, "12"
9000352, "0102000"
9000352, "61"
9000353, "0000099"
9000353, "12"
9000356, "0000099"
9000356, "99"
9000360, "0000099"
9000360, "61"
9000365, "0510801"
9000365, "42"
9000367, "0201000"
9000367, "45"
9000369, "0000099"
9000369, "21"
9000371, "0311000"
9000371, "42"
9000373, "0111000"
9000373, "99"
9000374, "0111000"
9000374, "99"
9000375, "0000099"
9000375, "13"
9000376, "0000099"
9000376, "21"
9000378, "0304000"
9000378, "0304010"
9000378, "54"
9000379, "0304000"
9000379, "0304010"
9000379, "54"
9000382, "0308000"
9000382, "59"
9000383, "0308000"
9000383, "59"
9000386, "0000099"
9000386, "13"
9000387, "0000099"
9000387, "31"
9000389, "0304000"
9000389, "0304010"
9000389, "89"
9000390, "0304000"
9000390, "0304010"
9000390, "54"
9000391, "0105000"
9000391, "56"
9000392, "0204000"
9000392, "49"
9000393, "0204000"
9000393, "49"
9000396, "0201000"
9000396, "61"
9000397, "0000099"
9000397, "13"
9000404, "0000099"
9000404, "99"
9000406, "0306000"
9000406, "0308000"
9000406, "56"
9000406, "57"
9000407, "0000099"
9000407, "84"
9000409, "0204000"
9000409, "42"
9000410, "0204000"
9000410, "42"
9000412, "0000099"
9000412, "21"
9000414, "0204000"
9000414, "44"
9000417, "0000099"
9000417, "21"
9000418, "0000099"
9000418, "21"
9000427, "0000099"
9000427, "12"
9000429, "0206000"
9000429, "31"
9000430, "0205000"
9000430, "41"
9000433, "0204000"
9000433, "42"
9000434, "0204000"
9000434, "42"
9000435, "0204000"
9000435, "42"
9000436, "0204000"
9000436, "49"
9000440, "0206000"
9000440, "31"
9000442, "0204000"
9000442, "42"
9000446, "0205000"
9000446, "41"
9000447, "0205000"
9000447, "41"
9000450, "0204000"
